course_name,course_id,professor,course_description,session,days,time,prof_search,mean_rating,mean_workload,graph_rating,graph_workload,url
Corruption: Finding It and Fixing It,DPI 543,"Baum, Jeeyang Rhee","Despite the adoption of electoral democracy across all regions of the world, charges of corruption seem to be arising everywhere.  But is corruption really on the rise? Which countries are the most corrupt?  Do highly corrupt countries share any common characteristics that we can identify and perhaps mitigate?  Corruption clearly has social costs ranging from diversion of funds for public programs to undermining of public trust in government.  Yet, few recent attempts to figh",Full Term,T/Th,12:00pm - 1:15pm,"Baum, Jeeyang Rhee",4.106,3.1000000000000005,-0.328666666666667,-0.202333333333333,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(DPI 543(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
The Arts of Communication,DPI 802M C,Bertotti,"Today's leaders must have the ability to communicate with clarity and integrity. This course seeks to strengthen the capacity of each student to do so in public and private settings while navigating a diverse range of leadership challenges. Approximately one-third of our time together will be devoted to lessons and discussions to introduce students to strategies of communication and models of public presentation. The other two-thirds will consist of smaller sections, in which students will h",Spring 1,M/W,4:30pm - 6:30pm,"Bertotti, Candace",4.71,3.375,0.275333333333333,0.0726666666666667,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(DPI 802M C(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Social Entrepreneurship/Social Enterprise Deep Dive: How to Operationalize & Scale for Social Impact,MLD 836M,Bildner,"Kiva, One Acre Fund, Sanergy, Sirum, Muso, Kinvolved, Report for America, and Education Superhighway all have achieved enormous impact in the world and all started out as early stage social enterprises led by a visionary. MLD-836M is a deep dive for those seriously interested in driving impact at scale through non-profit and for-profit social enterprises. Building on the lessons learned from decades of investing in early stage social enterprises working on some of societies’ most complicat",Spring 2,T/Th,10:30am - 11:45am,"Bildner, Jim",4.263333333333334,2.918333333333333,-0.171333333333333,-0.384,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(MLD 836M(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
"Greater Boston Applied Field Lab: Advanced Budgeting, Financial Management and Operations",MLD 412,Bilmes,"MLD-412 is an experiential-learning lab that will enable students to work on financial and operational challenges with real-world clients. In 2022-23, projects will focus primarily on climate-related challenges including transitioning to clean energy, addressing stormwater, water quality, extreme heat, flood and drought remediation, and dirty fossil-fuel residue and watersheds, particularly in low-income neighborhoods. The coursework will focus on infrastructure, financing, budget, design and st",Full Term,M/W,Split Schedule,"Bilmes, Linda",4.3496,4.090800000000001,-0.0850666666666671,0.788466666666667,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(MLD 412(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Behavioral Science for Inclusive Organizations,MLD 310,Bohnet,"This course builds on insights from behavioral science to offer an evidence-based approach to diversity, equity, and inclusion (DEI) in organizations. While there is increasing awareness of the lack of DEI in business, government and non-profit organizations, progress has been slow. We argue that one of the reasons for this is that organizations have used the wrong approaches, often copying peers’ “best practices” that are not based on “best evidence” and attempting",Full Term,M,1:30pm - 4:15pm,"Bohnet, Iris",4.135,3.125,-0.299666666666667,-0.177333333333333,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(MLD 310(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Policy Memo Writing for Decision Makers,DPI 820M B-2,Brodsky,"This six-week course will strengthen your skills as a policy writer. You will learn to write with the ease, confidence, clarity, and modes of persuasion necessary for professional policymaking. Newer policy writers will gain mastery over the short policy memo style required for many HKS courses. Returning policy writers will find the course promotes skills necessary for success in high-level policy making careers. The course highlights modes of analysis, persuasive arguments, and recommendations",Spring 2,T/Th,1:30pm - 2:45pm,"Brodsky, Lauren",4.754375,2.998125,0.319708333333333,-0.304208333333333,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(DPI 820M B-2(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Writing Policy Reports,DPI 821M,Brodsky,"This class supports students writing a masters thesis project for a specific client, and is tailored for MPP2 students working on PAEs.  The course teaches strong analysis, structure, formatting, and style.   We will deconstruct examples of superior and poor long format policy analysis papers to understand what goes into great policy writing and what to avoid. Students will have an opportunity to present their work, gaining valuable feedback from classmates ahead of PAE due d",Spring 1,T/Th,12:00pm - 1:15pm,"Brodsky, Lauren",4.754375,2.998125,0.319708333333333,-0.304208333333333,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(DPI 821M(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Policy Memo Writing for Decision Makers,DPI 820M B-1,Brodsky,"This six-week course will strengthen your skills as a policy writer. You will learn to write with the ease, confidence, clarity, and modes of persuasion necessary for professional policymaking. Newer policy writers will gain mastery over the short policy memo style required for many HKS courses. Returning policy writers will find the course promotes skills necessary for success in high-level policy making careers. The course highlights modes of analysis, persuasive arguments, and recommendations",Spring 2,T/Th,Split Schedule,"Brodsky, Lauren",4.754375,2.998125,0.319708333333333,-0.304208333333333,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(DPI 820M B-1(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
"Creating Justice in Real Time: Vision, Strategies and Campaigns",MLD 375,"Brooks, Cornell William","Amidst the end of the world as we've known it, envisioning the world we want to be.Angela Davis, the activist, philosopher, and academic, reminds us that, “sometimes we have to do the work even though we don't yet see a glimmer on the horizon that it's actually going to be possible.” The COVID-19 pandemic has exposed and exacerbated longstanding inequities and injustices, called into question even more the perils of racial capitalism, and elevated the importance of advoca",Full Term,M/W,3:00pm - 4:15pm,"Brooks, Cornell William",4.65,3.812,,,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(MLD 375(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Frontline Negotiation Lab: Assessing the Humanitarian Response to the Ukraine Crisis in Europe,IGA 353M,Bruderlein,Policy professionals are confronted with the constant politicization of the humanitarian response to crisis situations as well as deepening ideological tensions surrounding the provisions of life-saving assistance and protection to populations affected by armed conflict. The recent events in Eastern Europe bring into focus the challenges and dilemmas of addressing large scale man-made disasters while maintaining a neutral and impartial standing to allow the conduct of frontline humanitarian nego,January,S/M/T/W/Th/F/S,TBA,"Bruderlein, Claude",4.8,3.734615384615384,0.365333333333333,0.432282051282051,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(IGA 353M(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Conducting Negotiation on the Frontlines,MLD 234M,Bruderlein,"With the deepening of political divisions on societal challenges, policymakers must navigate increasingly tense environments to engage in constructive dialogues across political fault lines. They must be equipped with relevant sense-making frameworks, analytical tools and interpersonal skills to maintain productive dialogue with difficult counterparts on contentious issues such as the response to the pandemic, climate policies, gun control or irregular migration. Public officials and civil socie",Spring 2,,5:30pm - 8:15pm,"Bruderlein, Claude",4.8,3.734615384615384,0.365333333333333,0.432282051282051,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(MLD 234M(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Seminar: International and Global Affairs (spring),IGA 150Y,Bunn,"This seminar is designed to support MPP-2 students writing their Policy Analysis Exercise in the areas of international and global affairs.  The course is structured to support students as they identify the topic on which they will focus, clarify the problem they will be addressing, develop a strategy to gather information to address the problem, analyze their findings, develop recommendations, and produce the final product.  Over the fall we will focus the class sessions on gaining an",Full Term,Th,3:00pm - 4:15pm,"Bunn, Matthew",4.128333333333333,3.495,-0.306333333333334,0.192666666666666,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(IGA 150Y(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
