course_code,course_name,professor,year,term,n_respondents,Course_Rating,Instructor_Rating,Rigor,Readings,Syllabus,Diverse Perspectives,Discussions,Assignments,Workload,Insights,Time Management,Discussion Diversity,Feedback,Availability,Respect,This course would benefit from more (or less) emphasis on issues of diverse perspectives.,This course would benefit from more (or less) emphasis on international perspectives.,The instructor effectively manages class discussion.,Class lectures clarified the subject material.,Materials Diversity,Sessions,gender
API-102,Economic Analysis of Public Policy,"Aldy, Joseph",2019,Spring,31,3.55,3.9,3.9,3.23,4.2,2.94,3.65,3.9,2.97,3.93,3.94,4.13,3.63,4.14,4.81,3.43,3.45,4.03,3.71,,,M
API-164,Energy Policy Analysis,"Aldy, Joseph",2019,Spring,12,4.17,4.42,4.08,4.08,3.92,3.25,4.17,3.67,3.33,4.42,4.08,4.75,3.75,4.5,4.92,3.58,3.67,4.17,4.08,,,M
API-102,Economic Analysis of Public Policy,"Aldy, Joseph",2018,Spring,38,3.61,3.86,3.83,3.38,4.33,3.19,3.76,3.86,3,4,3.59,3.95,3.7,4.11,4.76,3.64,3.61,3.89,3.59,,,M
API-164,Energy Policy Analysis,"Aldy, Joseph",2018,Spring,9,4.33,4.44,4.44,4.33,4,3.56,4.11,4.22,3.25,4.78,4.22,4.89,4.33,5,5,3,3.67,4.22,4.56,,,M
API-102,Economic Analysis of Public Policy,"Aldy, Joseph",2017,Spring,26,3.58,4.08,3.76,3.72,4.33,3.33,3.69,4.23,3.04,4.15,3.35,4.19,3.77,4.62,4.92,3.35,3.54,3.73,3.88,,,M
API-164,Energy Policy Analysis,"Aldy, Joseph",2017,Spring,4,4,4.25,4,4.75,3.75,3.33,4.5,4.25,3.25,4.25,3.75,4.25,4.5,4.75,5,3.5,3.5,4,4.75,,,M
API-102,"Resources, Incentives, and Choices II:  Analysis of Public Policy","Aldy, Joseph",2021,Spring,28,2.43,2.71,3.11,2.75,3.46,2.86,2.75,3.25,3.07,3.25,2.82,3.07,2.82,3.46,4.25,3.79,3.61,3.22,2.71,,,M
API-165,Energy and Environmental Economics and Policy,"Aldy, Joseph",2021,Spring,18,4.39,4.56,4.67,4.44,4.63,3.78,4.59,4.39,3.33,4.72,4.39,4.5,3.44,4.56,4.83,3.56,3.5,4.39,4.61,,,M
API-102,Economic Analysis of Public Policy,"Aldy, Joseph",2016,Spring,21,3.81,4,3.86,3.57,4.05,,3.71,4.15,3.05,4.14,4.1,3.9,3.48,4.1,4.62,3.38,3.86,4,3.71,,,M
API-164,Energy Policy Analysis,"Aldy, Joseph",2016,Spring,20,4.3,4.63,4.55,4.2,4.4,,4.5,4.45,3.05,4.4,4.3,4.58,4.7,4.65,4.85,2.95,3.4,4.45,4.55,,,M
API-102,Economic Analysis of Public Policy,"Aldy, Joseph",2014,Spring,37,2.76,3.05,3.06,3.08,3.31,,2.95,3.19,2.81,3.08,3.35,3.43,2.76,3.47,4.08,3.44,3.44,3.22,3.03,,,M
API-164,Energy Policy Analysis,"Aldy, Joseph",2014,Spring,14,3.92,4.08,4.08,4.23,4.42,,3.92,4,3,4.31,4,4.23,4.15,4.38,4.54,3.15,3.77,4.31,4.08,,,M
API-102,Economic Analysis of Public Policy,"Aldy, Joseph",2013,Spring,42,2.44,2.78,3.07,2.95,3.05,,2.71,3.02,2.98,3.22,3.02,3.37,2.65,3.7,4.22,3.1,3.54,2.93,2.93,,,M
API-164,Energy Policy Analysis,"Aldy, Joseph",2013,Spring,43,4.23,4.38,4.31,4.15,4.52,,4.46,4.31,3.52,4.35,3.73,4.62,4.38,4.69,4.85,3.12,3.77,4.31,4.54,,,M
API-164,Energy Policy Analysis,"Aldy, Joseph",2012,Spring,15,4.2,4.5,4.7,3.89,4.3,,4.2,4.3,3.22,4.5,4.5,4.1,4,4.2,4.9,3.2,3.1,4.1,4.5,,,M
API-102,Economic Analysis of Public Policy,"Aldy, Joseph",2012,Spring,14,3.71,3.79,3.57,3.71,4.21,,3.79,4.07,3.21,4,3.93,4.14,3.57,3.85,4.64,3.5,3.57,4.07,3.93,,,M
API 170,"Managing Climate Change Risks Information, Incentives, and Institutions","Aldy, Joseph",2023,Spring,64,3.63,4.24,3.79,4.07,3.96,3.84,3.63,3.77,3.16,4.19,3.66,4.33,3.82,4.47,4.81,,,,,4.18,3.63,M
API 165,Energy and Environmental Economics and Policy,"Aldy, Joseph",2023,Spring,35,4.01,4.35,4.38,4.12,4.2,3.4,3.92,4.01,3.43,4.38,3.72,4.18,3.8,4.18,4.81,,,,,3.61,3.92,M
PED-329,"The Microeconomics of Competiveness: Firms, Clusters, and","Alfaro, Laura",2017,Spring,32,3.29,3.44,3.53,4.06,4,3.68,3.47,3.78,3.06,3.34,3.28,3.9,3.44,4,4.16,3.32,3.39,3.38,3.65,,,F
API-305,"Behavioral Economics, Law and Public Policy","Allcott, Hunt",2021,Spring,11,3.64,4.09,4.09,3.91,3,3.18,4.36,3.55,2.9,4.09,4,4.09,4,4.18,4.64,4,3.9,4.09,4.18,,,M
IGA-201,Central Challenges of American Foreign Policy,"Allison, Graham",2010,Spring,19,4.42,4.53,4.58,4.53,4.67,,4.58,4.84,4.11,4.68,4.37,4.47,4.05,3.95,4.79,3.44,3.61,4.47,4.47,,,M
IGA 211,"Central Challenges of American National Security, Strategy, and the Press","Allison, Graham",2022,Fall,18,4.62,4.45,4.73,4.84,4.89,3.95,4.4,4.89,4.56,4.51,4.34,4.4,4.22,3.67,4.67,,,,,4.56,4.56,M
API-101,"Resources, Incentives, and Choices I:   Markets and Market Failures","Alsan, Marcella",2021,Fall,58,3.81,4.16,4.09,2.75,4.31,3.14,3.63,4.07,3.82,4.1,4.16,4.28,3.9,3.84,4.72,3.66,3.86,4,3.65,,,F
SUP-518,The Economics of Infectious Disease,"Alsan, Marcella",2021,Fall,5,4.6,4.6,4.6,4,4.6,5,4,4.2,3,4.6,4.6,5,4.8,4.8,5,3,3.4,4.6,4.6,,,F
SUP-518,The Economics of Infectious Disease,"Alsan, Marcella",2020,Fall,13,4.31,4.54,4.77,4.38,4.77,4.46,3.92,4.5,2.92,4.54,4.38,4.62,4.69,4.85,4.92,3.38,3.38,4.15,4.15,,,F
API 102 B,"Resources, Incentives, and Choices II Analysis of Public Policy","Alsan, Marcella",2023,Spring,29,3.76,4.35,4.14,4,4.14,4.31,4.31,4.48,3.14,4.49,4.38,4.45,4.14,4.49,4.94,,,,,4.17,4.25,F
SUP-601,"Urban Politics, Planning, and Development","Altshuler, Alan",2012,Fall,25,4.17,4.57,4.39,4.3,4.3,,4.3,4.26,3.09,4.57,4.65,4.39,4.48,4.57,4.74,3.48,3.52,4.57,4.43,,,M
SUP-601,"Urban Politics, Planning, and Development","Altshuler, Alan",2011,Fall,22,4.48,4.48,4.38,4.62,4.38,,4.05,4.55,3.43,4.43,4.19,4.14,4.38,4.62,4.67,3.38,3.76,4.38,4.43,,,M
SUP-601,"Urban Politics, Planning, and Development","Altshuler, Alan",2010,Fall,23,3.35,3.65,3.83,3.91,3.61,,3.22,3.83,3.39,3.78,3.52,3.43,4,4.26,4.3,3.52,3.43,2.91,3.52,,,M
HUT-201,"Urban Politics, Planning, and Development","Altshuler, Alan",2009,Fall,34,3.41,3.88,3.76,3.91,4.03,,3.56,3.88,2.82,3.91,3.79,4.21,4.21,4.52,4.65,3.61,3.55,3.59,4,,,M
HUT-201,"Urban Politics, Planning, and Development","Altshuler, Alan",2008,Fall,24,4.08,4.33,4.33,4.21,4.25,,3.71,4.21,3.46,4.5,4.33,4.13,4.79,4.96,4.92,3.61,3.74,3.71,4.29,,,M
MLD 102 B,Getting Things Done Management in a Development Context,"Andrews, Matt",2022,Fall,42,3.76,4.43,3.72,3.96,4.24,4.34,3.81,3.96,2.91,4.38,4.31,4.77,4.34,4.74,4.84,,,,,4.41,3.77,M
MLD 102 A,Getting Things Done Management in a Development Context,"Andrews, Matt",2022,Fall,27,3.52,4.15,3.78,3.85,4.07,4.04,3.93,3.85,2.82,4.22,4.04,4.49,4.41,4.71,4.78,,,,,4,3.74,M
MLD 103M,PDIA in Action Development Through Facilitated Emergence,"Andrews, Matt",2023,Spring,27,4.15,4.38,4.41,4.45,4.11,4.15,3.96,4.6,4.45,4.6,4.23,4.38,4.45,4.6,4.86,,,,,4.11,4.19,M
MLD-102,Getting Things Done: Management in a Development Context,"Andrews, Matt",2019,Fall,37,4.32,4.69,4.14,4.27,4.42,4.5,4.43,4.49,2.94,4.68,4.57,4.68,4.65,4.54,4.92,3.3,3.36,4.68,4.57,,,M
MLD-102,Getting Things Done: Management in a Development Context,"Andrews, Matt",2019,Fall,38,4.03,4.51,4.08,4.16,4.37,4.45,4.18,4.16,2.95,4.45,4.34,4.5,4.37,4.66,4.86,3.38,3.27,4.32,4.37,,,M
MLD-103M,PDIA in Action:  Development Through Facilitated Emergence,"Andrews, Matt",2020,Spring,14,4.5,4.79,4.36,4.21,4.29,4.43,4.36,4.64,3.77,4.86,4.36,4.71,4.64,4.71,4.93,3.29,3.29,4.64,4.57,,,M
MLD-102,Getting Things Done: Management in a Development Context,"Andrews, Matt",2018,Fall,35,3.77,4.17,3.74,3.82,3.97,4.06,3.85,3.59,2.88,4.17,3.89,4.31,3.83,4.37,4.83,3.24,3.18,4.14,4.12,,,M
MLD-103M,PDIA in Action:  Development Through Facilitated Emergence,"Andrews, Matt",2019,Spring,27,3.85,4.38,3.74,3.81,4.22,4.3,3.85,4.26,3.08,4.41,3.74,4.48,4.22,3.65,4.89,3.48,3.41,4.12,3.67,,,M
MLD-102,Getting Things Done: Management in a Development Context,"Andrews, Matt",2018,Fall,57,3.93,4.39,3.91,3.96,4.07,4.39,4.21,3.84,2.96,4.46,4.19,4.43,3.81,4.14,4.8,3.36,3.38,4.32,4.3,,,M
MLD-102M,Getting Things Done: Management in a Development Context,"Andrews, Matt",2017,Fall,51,3.9,4.49,3.86,4.08,4.27,4.08,3.96,3.36,2.38,4.42,4.28,4.6,4.14,4.26,4.84,3.31,3.25,4.34,4.24,,,M
MLD-103M,PDIA in Action:  Development Through Facilitated Emergence,"Andrews, Matt",2018,Spring,22,4.36,4.73,4.32,4.41,4.59,4.45,4.5,4.68,3.64,4.67,3.86,4.76,4.57,4.29,4.95,3.55,3.43,4.38,4.59,,,M
MLD-102M,Getting Things Done: Management in a Development Context,"Andrews, Matt",2017,Fall,47,3.5,4.17,3.3,3.66,4.09,3.7,3.72,3.09,2.2,4.17,4.06,4.15,3.83,4.24,4.66,3.49,3.42,4.13,3.85,,,M
MLD-102,Getting Things Done: Management in a Development Context,"Andrews, Matt",2016,Fall,37,3.33,4.03,3.5,4,3.79,3.85,3.78,3.44,3.58,4.36,3.53,4.33,3.97,4.39,4.71,3.39,3.31,3.75,3.89,,,M
MLD-102,Getting Things Done: Management in a Development Context,"Andrews, Matt",2016,Fall,51,3.31,3.92,3.43,3.62,3.61,4,3.53,3.08,3.92,4.33,3.73,4.35,3.86,3.74,4.73,3.28,3.28,3.98,3.78,,,M
MLD-102,Getting Things Done: Management in a Development Context,"Andrews, Matt",2021,Fall,64,3.73,4.38,3.72,4.05,4.17,4.44,3.79,3.98,3.17,4.34,4.23,4.48,3.44,4.22,4.84,3.41,3.28,4.31,4.21,,,M
MLD-102,Getting Things Done: Management in a Development Context,"Andrews, Matt",2021,Fall,50,3.69,4.21,3.57,4.04,4.14,4.32,3.96,3.96,2.88,4.24,4.2,4.44,3.74,4.06,4.8,3.38,3.3,4.42,4.18,,,M
MLD-103M,PDIA in Action:  Development Through Facilitated Emergence,"Andrews, Matt",2022,Spring,22,4.14,4.27,3.91,4.18,4.18,4,4,4.59,4.18,4.41,3.82,4.5,4.23,4.05,4.82,3.36,3.18,4.14,3.91,,,M
MLD-102,Getting Things Done: Management in a Development Context,"Andrews, Matt",2020,Fall,45,4.18,4.49,4.27,4.44,4.44,4.65,4.36,4.29,3.35,4.64,4.07,4.8,4.36,4.6,4.89,3.49,3.44,4.27,4.4,,,M
MLD-102,Getting Things Done: Management in a Development Context,"Andrews, Matt",2020,Fall,21,4.33,4.57,4.33,4.38,4.67,4.7,4.38,4.43,3.45,4.71,4.38,4.95,4.14,4.8,4.95,3.19,3.29,4.62,4.38,,,M
MLD-103M,PDIA in Action:  Development Through Facilitated Emergence,"Andrews, Matt",2021,Spring,12,4.58,4.5,4.5,4.58,4.67,4.27,4.58,4.83,4.25,4.92,4.42,4.58,4.58,4.09,4.92,3.42,3.36,4.5,4.58,,,M
MLD-103M,PDIA in Action:  Development Through Facilitated Emergence,"Andrews, Matt",2021,Spring,10,4.8,4.88,4.5,4.6,4.7,4.4,4.3,4.8,3.5,4.9,4.2,4.6,4.5,3.5,5,3.2,3.3,4.5,4.6,,,M
MLD-102,Getting Things Done: Management in a Development Context,"Andrews, Matt",2015,Fall,72,3.31,3.99,3.29,3.69,3.96,,3.49,3.69,2.76,4.03,3.76,4.32,3.79,4.35,4.68,3.41,3.39,3.96,3.83,,,M
MLD-102,Getting Things Done: Management in a Development Context,"Andrews, Matt",2014,Fall,78,3.78,4.22,3.75,3.8,4.16,,3.99,3.49,3.25,4.3,4.09,4.37,4.12,4.26,4.62,3.32,3.29,4.21,4.09,,,M
MLD-102,Getting Things Done: Management in a Development Context,"Andrews, Matt",2013,Fall,59,3.6,4.17,3.46,3.98,4,,3.87,3.6,2.72,4.31,3.49,4.45,3.75,4.31,4.8,3.22,3.38,4.09,4.04,,,M
MLD-102,Getting Things Done: Management in a Development Context,"Andrews, Matt",2013,Fall,60,4,4.32,3.83,4.11,4.27,,4.23,3.92,2.85,4.57,3.87,4.43,3.83,4.1,4.81,3.51,3.3,4.15,4.46,,,M
MLD-102,Getting Things Done: Management in a Development Context,"Andrews, Matt",2012,Fall,41,3.61,4.13,3.54,3.88,3.82,,3.92,3.39,3.05,4.22,3.83,4.5,4,4.08,4.6,3.33,3.43,4.07,3.83,,,M
MLD-408M,Money Management and Policy Implementation in Developing,"Andrews, Matt",2013,Spring,37,4.26,4.6,4,3.94,4.34,,4.71,4.12,2.69,4.89,4.59,4.71,4.31,4.24,4.89,3.11,3.09,4.74,4.6,,,M
MLD-102,Getting Things Done: Management in a Development Context,"Andrews, Matt",2011,Fall,51,3.69,3.94,3.43,3.58,3.96,,3.98,3.49,2.44,4.06,4.02,4.29,3.82,4.35,4.57,3.18,3.26,3.76,3.92,,,M
MLD-408M,Money Management & Policy Implementation in Developing,"Andrews, Matt",2012,Spring,22,4.5,4.76,4,3.9,4.19,,4.62,4.14,2.86,4.75,4.3,4.8,4.35,4.3,4.85,3.37,3.47,4.55,4.57,,,M
STM-102,Getting Things Done: Management in a Development Context,"Andrews, Matt",2007,Fall,60,3.6,3.92,3.42,3.85,3.77,,3.8,3.68,2.93,4.05,3.62,4.53,3.64,4.51,4.63,3.36,3.37,3.51,3.73,,,M
STM-408M,Money Management and Policy Implementation in Developing,"Andrews, Matt",2008,Spring,25,4.32,4.89,4.5,4.39,4.5,,4.61,4.12,3.43,4.82,4.82,4.71,4.43,4.61,5,3.07,3.07,4.89,4.64,,,M
PED-250Y,Second-Year Policy Analysis Seminar,"Andrews, Matt",2008,Spring,19,3.26,4,3.39,2.93,3.63,,3.56,3.61,3.74,4.16,3.84,4.39,4.37,4.16,4.68,2.93,3.07,4.16,3.39,,,M
MLD-408M,Money Management & Policy Implementation in Developing,"Andrews, Matt",2011,Spring,31,4,4.48,3.94,3.68,4.2,,4.13,4.06,3.97,4.58,4.57,4.45,3.81,4.39,4.77,3.2,3.23,4.35,4.13,,,M
MLD-102,Getting Things Done: Management in a Development Context,"Andrews, Matt",2009,Fall,76,2.46,2.75,2.47,3.08,3.13,,2.91,2.7,2.74,3.11,2.97,3.01,3.07,3.84,3.95,3.44,3.36,2.46,2.78,,,M
STM-102,Getting Things Done: Management in a Development Context,"Andrews, Matt",2008,Fall,75,3.8,3.95,3.59,3.56,4.18,,4.2,3.88,3.31,4.15,4.18,4.23,3.99,4.52,4.4,3.45,3.48,4.07,3.96,,,M
STM-408M,Money Management and Policy Implementation in Developing,"Andrews, Matt",2009,Spring,65,4.23,4.73,4.2,3.97,4.41,,4.41,4.07,3.19,4.66,4.53,4.73,4.19,4.28,4.83,3.03,3.03,4.53,4.45,,,M
SUP-770,Race and the State: The Role of Public Policy in U.S. Racial,"Ang, Desmond",2021,Fall,32,4.31,4.47,4.22,4.66,4.78,4.94,4.34,4.77,2.59,4.78,4.41,4.81,4.19,4.81,4.97,3.25,3.34,4.31,4.77,,,M
API-202,Empirical Methods II,"Ang, Desmond",2021,Spring,33,3.45,3.97,3.82,3.39,4.27,3.85,3.69,3.88,2.79,4.06,4.15,4.15,3.97,4.45,4.85,3.39,3.48,3.82,3.88,,,M
SUP-230,Race and the State: The Role of Public Policy in U.S. Racial,"Ang, Desmond",2021,Spring,13,3.77,4.15,3.85,4.23,4.31,4.77,4.08,4.23,2,4.15,4.08,4.62,4.46,4.54,4.92,3.38,2.92,4.15,4.15,,,M
SUP-600,Policymaking in Urban Settings,"Apgar, William",2012,Fall,5,4.4,4.6,4.2,4.2,4.4,,4.4,4.4,3,4.2,4.2,4.8,4.6,4.8,4.8,3.6,3.2,4.6,4.2,,,M
SUP-600,Policymaking in Urban Settings,"Apgar, William",2011,Fall,29,2.64,2.71,2.89,3.61,2.89,,2.85,3.46,2.96,3.04,2.46,3.57,3.61,4.04,4.11,3.68,3.46,2.75,2.54,,,M
HUT-100,Policymaking in Urban Settings,"Apgar, William",2007,Fall,32,3.63,3.88,3.25,4.16,3.66,,3.53,4,3.06,4,3.28,4.34,4.13,4.52,4.56,3.44,3.13,3.63,3.56,,,M
HUT-100,Policymaking in Urban Settings,"Apgar, William",2008,Fall,12,4,4.09,3.58,4.25,3.92,,3.92,3.75,3.08,4.42,3.75,4.83,4.5,4.83,4.83,3,3.18,3.92,3.5,,,M
DPI-401M,"Normative Principles, Political Institutions, and Development","Applbaum, Arthur",2019,Fall,32,2.91,3.66,3.63,3.22,3.63,3.72,3.13,3,3.77,3.63,3.55,3.94,3.55,4.74,4.68,3.25,3.41,3.58,3.22,,,M
DPI-218,Dissent and Disobedience in Democracies,"Applbaum, Arthur",2019,Spring,2,4.5,4,5,3.5,4,3.5,4.5,4,3,4.5,4,4,3.5,4.5,4,3.5,4,4.5,4.5,,,M
DPI-218,Principled Disobedience in Democracies,"Applbaum, Arthur",2018,Spring,6,4.33,4.67,4.5,4.5,4.5,4,4.5,4.33,3.5,4.5,4.33,4,4.5,4.83,4.67,3.5,3.67,4,4.67,,,M
DPI-411,Political Philosophy for Development,"Applbaum, Arthur",2021,Fall,27,3.56,3.73,4.48,4,4.26,3.96,3.48,3.93,4.44,4.26,3.3,3.74,3.44,4.48,4.59,3.63,3.59,3.11,3.74,,,M
DPI-411,Political Philosophy for Development,"Applbaum, Arthur",2021,Fall,23,3.74,4.04,4.17,3.96,4.22,4.22,3.78,4.17,4.04,4.17,3.74,4.22,3.78,4.48,4.57,3.52,3.48,3.52,3.91,,,M
DPI-401,Normative Principles of Governance in Development,"Applbaum, Arthur",2020,Fall,4,4.5,4.75,4.75,4.75,4.75,5,4.75,4.75,4,5,5,5,5,5,5,3.25,3,5,5,,,M
DPI-401,Normative Principles of Governance in Development,"Applbaum, Arthur",2020,Fall,10,4.6,4.9,4.9,4.7,4.8,4.7,4.6,4.4,3.7,5,4.4,4.9,4.6,5,4.9,3.5,3.6,4.9,4.5,,,M
DPI-401,Normative Principles of Governance in Development,"Applbaum, Arthur",2020,Fall,6,4.17,4.33,4.5,4.17,4.5,4.5,4.5,4.5,4.33,4.5,4.5,4.67,4,4.17,4.67,3.17,3.17,4.67,4.5,,,M
DPI-201,The Responsibilities of Public Action,"Applbaum, Arthur",2015,Fall,55,3.58,3.6,3.78,3.51,4.09,,3.65,3.96,3.36,4.02,3.43,3.58,3.49,4.6,4.13,3.85,4,3.24,3.53,,,M
DPI-230,Legitimacy and Resistance,"Applbaum, Arthur",2014,Fall,6,4.8,4.8,4.8,4.4,4.6,,4.4,4.6,3.6,4.8,4.8,4.4,4.6,5,4.8,4.4,4.6,4.6,4.2,,,M
DPI-201,The Responsibilities of Public Action,"Applbaum, Arthur",2015,Spring,25,2.8,3.24,3.4,2.56,3.56,,2.8,3.36,4.12,3.48,2.92,2.84,2.88,4.44,3.84,3.6,3.71,2.72,2.52,,,M
DPI-201,The Responsibilities of Public Action,"Applbaum, Arthur",2014,Spring,49,3.51,4,3.94,3.56,4.22,,3.75,3.53,3.8,4.1,4,3.67,3.43,4.5,4.15,3.62,3.68,3.88,3.73,,,M
DPI-230,Legitimacy and Resistance,"Applbaum, Arthur",2013,Fall,15,4.54,4.62,4.77,4.69,4.69,,4.62,4.54,3.69,4.69,4.69,4.54,4.31,4.77,4.77,2.75,2.83,4.69,4.69,,,M
DPI-201,The Responsibilities of Public Action,"Applbaum, Arthur",2012,Fall,47,3.81,4.26,4.3,3.6,4.02,,3.89,3.98,4.21,4.43,4.04,4,4.06,4.57,4.38,3.65,3.67,4.11,3.6,,,M
