,prof_search,course_code,concentration,course_name,credit,term,professor,day,time,description,course_link,mean_rating,mean_workload
24,"Brooks, Cornell",DPI-386M B,"Democracy, Politics and Institutions","Race and Racism in Public Policies, Practices, and Perspectives",2,Fall 2,"Brooks, Cornell",M/W,3:00 PM-4:15 PM,"Grounded in theory and practice, this module seeks to equip students with advocacy strategies to end systemic racism. Using the criminal legal system as a case study (solitary confinement, death penalty, school to prison pipeline, etc.), students study successful movements and case studies, economic and moral arguments, advocacy strategies and campaigns, data and storytelling, as well as history to develop their own campaigns to address today’s injustices. These strategies are useful in the public and private sector and in a wide variety of social justice contexts.",https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22PageNumber%22%3A1%2C%22PageSize%22%3A%22%22%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22Facets%22%3A%5B%5D%2C%22Category%22%3A%22HU_SCL_SCHEDULED_BRACKETED_COURSES%22%2C%22SearchPropertiesInResults%22%3Atrue%2C%22FacetsInResults%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22TopN%22%3A%22%22%2C%22ExcludeBracketed%22%3Atrue%2C%22SearchText%22%3A%22(%20(STRM%3A2238)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(%20Cornell William Brooks %20)%22%2C%22DeepLink%22%3Afalse%7D,4.7,3.89
25,"Bruich, Gregory",API-114,Analysis of Policies and Institutions,Econometric Methods for Applied Research I,4,Fall,"Bruich, Gregory",M/W,1:30 PM-2:45 PM,"API-114 and API-115 comprise a two-course sequence for first-year Ph.D. and D.B.A. students seeking training in econometric methods at a level that prepares them to conduct professional empirical research. API-114 (fall) reviews probability and statistics, then covers the fundamentals of modern econometrics, with a focus on regression methods for causal inference in observational and experimental data. Also offered by the Economics Department as Economics 2110 and the Business School as 4170.  
  
 

  The two-course sequence is open only to qualified PhD and DBA students from HKS, HBS, HGSE, and HSPH, but occasionally others may be admitted at the discretion of the instructor (if the instructor is convinced that such individuals can perform well and would not negatively affect the nature and pace of the course).",https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22PageNumber%22%3A1%2C%22PageSize%22%3A%22%22%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22Facets%22%3A%5B%5D%2C%22Category%22%3A%22HU_SCL_SCHEDULED_BRACKETED_COURSES%22%2C%22SearchPropertiesInResults%22%3Atrue%2C%22FacetsInResults%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22TopN%22%3A%22%22%2C%22ExcludeBracketed%22%3Atrue%2C%22SearchText%22%3A%22(%20(STRM%3A2238)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(%20Gregory Bruich %20)%22%2C%22DeepLink%22%3Afalse%7D,3.98,3.62
26,"Carras, James",SUP-600,Social and Urban Policy,Equitable Development and Housing Policy in Urban Settings,4,Fall,"Carras, James",M/W,1:30 PM-2:45 PM,"An introduction to policymaking in American cities, focusing on economic, demographic, institutional, and political settings. It examines inclusive and equitable economic development and job growth in the context of metropolitan regions and the emerging ""new economy.” Topics include: federal, state, and local government strategies for expanding community economic development and affordable housing opportunities, equitable transit-oriented development and resiliency. Of special concern is the continuing spatial and racial isolation of low-income populations, especially minority populations, in central-city neighborhoods and how suburbanization of employment, reduction in low-skilled jobs, and racial discrimination combine to limit housing and employment opportunities. Current federal policy such as Opportunity Zones and tax credit initiatives will be examined relative to policy goals of addressing communities that have historically been discriminated both by the public and private sectors. During the semester, students will complete a brief policy memorandum, and participate in a term-long group project exploring policy options to address an urban problem or issue for a specific city. Also offered by the Graduate School of Design as SES-05213.",https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22PageNumber%22%3A1%2C%22PageSize%22%3A%22%22%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22Facets%22%3A%5B%5D%2C%22Category%22%3A%22HU_SCL_SCHEDULED_BRACKETED_COURSES%22%2C%22SearchPropertiesInResults%22%3Atrue%2C%22FacetsInResults%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22TopN%22%3A%22%22%2C%22ExcludeBracketed%22%3Atrue%2C%22SearchText%22%3A%22(%20(STRM%3A2238)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(%20James Carras %20)%22%2C%22DeepLink%22%3Afalse%7D,4.01,2.9
27,"Cels, Sanderijn",DPI-422M,"Democracy, Politics and Institutions","Reckoning with History: Collective Memory, Leadership, and the Politics of Remembrance",2,Fall 2,"Cels, Sanderijn",M/W,3:00 PM-4:15 PM,"Historic wrongs often live on in the present. Survivors and their advocates frequently turn to current administrations, seeking recognition and reparations for wrongdoings that governments in the past were involved in. But remedies rarely come easily. For example, because people remember the past differently; because they question their responsibility for remedying past wrongs; or because public officials are reluctant to accept responsibility on behalf of the state because of legal, financial, political, and other concerns. This course examines the strategic challenges of reckoning with history. It offers frameworks that help diagnose “living history” to understand how groups (choose to) remember the past. It also focuses on concrete measures that are intended to come to terms with the past, which survivors might seek and which government officials may offer— from official apologies to financial reparations, and from removing or erecting monuments to civic curriculum reform. The course prepares students to be astute analysts of collective memory as well as strategic agents of change in current affairs. It centers not around grand theories of justice, but around local cases that are written from a variety of perspectives of social actors on opposing sides of the issues.",https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22PageNumber%22%3A1%2C%22PageSize%22%3A%22%22%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22Facets%22%3A%5B%5D%2C%22Category%22%3A%22HU_SCL_SCHEDULED_BRACKETED_COURSES%22%2C%22SearchPropertiesInResults%22%3Atrue%2C%22FacetsInResults%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22TopN%22%3A%22%22%2C%22ExcludeBracketed%22%3Atrue%2C%22SearchText%22%3A%22(%20(STRM%3A2238)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(%20Sanderijn Cels %20)%22%2C%22DeepLink%22%3Afalse%7D,4.64,3.63
28,"Chipungu, Farayi",MLD-201 A,"Management, Leadership, and Decision Sciences",Exercising Leadership: The Politics of Change,4,Fall,"Chipungu, Farayi",M/W,10:30 AM-11:45 AM,"This course provides a diagnostic and strategic foundation for leadership practice. Designed for professionals from diverse backgrounds and cultures, the course builds upon the extraordinary experience of many of our students. The purpose of the course is to increase one’s capacity to lead with and without authority, across boundaries, and from any political or organizational position.
 

 In a world in which most organizations, communities, and societies face enormous adaptive pressures, the practice of leadership is critical – the practice of mobilizing systems of people to thrive in changing and challenging times. In this course, we apply theory to practice, clarifying the relationship among key concepts – leadership, management, authority, power, influence, followership, citizenship – to provide a practical and coherent theoretical framework. We develop both diagnostic tools for analyzing the complexity of change in social systems, and strategies of action. These action strategies include: using authority and power wisely, mobilizing responsibility across boundaries, managing economies of attention, generating innovation, building trust, orchestrating multi-party conflict, regulating disequilibrium, refashioning narratives to both build and depart from history, and building a culture of adaptability for the long-term. In addition, we begin to explore the challenge of managing personally the inevitable stresses and dangers of leadership.",https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22PageNumber%22%3A1%2C%22PageSize%22%3A%22%22%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22Facets%22%3A%5B%5D%2C%22Category%22%3A%22HU_SCL_SCHEDULED_BRACKETED_COURSES%22%2C%22SearchPropertiesInResults%22%3Atrue%2C%22FacetsInResults%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22TopN%22%3A%22%22%2C%22ExcludeBracketed%22%3Atrue%2C%22SearchText%22%3A%22(%20(STRM%3A2238)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(%20Farayi Chipungu %20)%22%2C%22DeepLink%22%3Afalse%7D,4.75,4.47
29,"de Benedictis-Kessner, Justin",DPI-325,"Democracy, Politics and Institutions",Urban Politics Field Lab: Political Representation and Accountability,4,Fall,"de Benedictis-Kessner, Justin",M/W,4:30 PM-6:30 PM,"Over 80% of people in the US live in cities. City and town governments constantly have the potential to change policies with massive impact on this enormous population's lives. Preparing for climate change, providing housing to the growing urban population, and keeping the businesses driving urban economies working are all examples of challenges facing these governments. Yet national politics gets the majority of attention -- from the media, from researchers, from voters, and even from public policy students -- instead of the less flashy work of governing and policymaking that happens in local governments. As a result, local governments are often under-equipped to understand the policy solutions available to them to address these challenges. Nor are they usually equipped to confront the often-contentious politics of public opinion and engagement required to actually implement these solutions. This course is an experiential learning lab in which students work in teams on political challenges facing real-world local government clients. Project teams will partner with local cities and towns, or departments of larger government entities, to address policy challenges such as transportation, the impacts of climate change, affordable housing, and other current topics. The projects vary in policy area focus, but all allow students to apply skills learned in HKS classes to real-world policy settings, and in turn provide tangible benefits to partner cities and towns. Project teams will use a variety of skills, but will almost all incorporate original public opinion polling of city residents to assess the political viability of policy solutions. In advance of team project-based work, the course includes training in advanced relevant analytical skills, such as GIS mapping, data visualization, and survey measurement and design. Project work and technical skills-based learning are complemented by sessions discussing current academic research on relevant urban policy issues. Extensive field work outside of class time will be required, including multiple visits to client sites by student team members. Students who complete the course may have the opportunity to develop team projects into publishable research projects following the class or extend partnerships with client governments into PAE projects. Applicants must submit a short statement of interest and resume/CV to https://forms.gle/2uha4d75orEgJUbTA. Applicants will be required to submit a short statement of interest and resume/CV to https://forms.gle/2uha4d75orEgJUbTA.",https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22PageNumber%22%3A1%2C%22PageSize%22%3A%22%22%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22Facets%22%3A%5B%5D%2C%22Category%22%3A%22HU_SCL_SCHEDULED_BRACKETED_COURSES%22%2C%22SearchPropertiesInResults%22%3Atrue%2C%22FacetsInResults%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22TopN%22%3A%22%22%2C%22ExcludeBracketed%22%3Atrue%2C%22SearchText%22%3A%22(%20(STRM%3A2238)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(%20Justin de Benedictis-Kessner %20)%22%2C%22DeepLink%22%3Afalse%7D,3.96,2.88
30,"Dogan, Pinar",API-101 B,Analysis of Policies and Institutions,"Resources, Incentives, and Choices I: Markets and Market Failures",4,Fall,"Dogan, Pinar",M/W,10:30 AM-11:45 AM,"This course applies microeconomic reasoning to public policies. It considers economic incentives and organizations; models of economic behavior; the operation of markets; the price system and how it works; the consequences of market failure and interventions in markets; and policy objectives and instruments. It is the first course in the ‘Resources, Incentives, and Choices’ sequence, and provides the foundational frameworks required for the second course in the sequence, Economic Analysis of Public Policy (API-102).",https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22PageNumber%22%3A1%2C%22PageSize%22%3A%22%22%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22Facets%22%3A%5B%5D%2C%22Category%22%3A%22HU_SCL_SCHEDULED_BRACKETED_COURSES%22%2C%22SearchPropertiesInResults%22%3Atrue%2C%22FacetsInResults%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22TopN%22%3A%22%22%2C%22ExcludeBracketed%22%3Atrue%2C%22SearchText%22%3A%22(%20(STRM%3A2238)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(%20Pinar Doğan %20)%22%2C%22DeepLink%22%3Afalse%7D,4.76,3.71
31,"Dogan, Pinar",API-101 C,Analysis of Policies and Institutions,"Resources, Incentives, and Choices I: Markets and Market Failures",4,Fall,"Dogan, Pinar",M/W,1:30 PM-2:45 PM,"This course applies microeconomic reasoning to public policies. It considers economic incentives and organizations; models of economic behavior; the operation of markets; the price system and how it works; the consequences of market failure and interventions in markets; and policy objectives and instruments. It is the first course in the ‘Resources, Incentives, and Choices’ sequence, and provides the foundational frameworks required for the second course in the sequence, Economic Analysis of Public Policy (API-102).",https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22PageNumber%22%3A1%2C%22PageSize%22%3A%22%22%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22Facets%22%3A%5B%5D%2C%22Category%22%3A%22HU_SCL_SCHEDULED_BRACKETED_COURSES%22%2C%22SearchPropertiesInResults%22%3Atrue%2C%22FacetsInResults%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22TopN%22%3A%22%22%2C%22ExcludeBracketed%22%3Atrue%2C%22SearchText%22%3A%22(%20(STRM%3A2238)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(%20Pinar Doğan %20)%22%2C%22DeepLink%22%3Afalse%7D,4.76,3.71
32,"Dynan, Karen",API-121,Analysis of Policies and Institutions,"Recessions, Growth, and Macroeconomic Policy",4,Fall,"Dynan, Karen",M/W,12:00 PM-1:15 PM,"Countries around the world have faced significant macroeconomic challenges in the 21st century. The global economy entered a deep recession with the onset of the COVID-19 pandemic just a few years after recovering from a protracted economic slump caused by the 2007-2009 global financial crisis. More recently, inflation surged to levels not seen in many countries for decades. We will learn some of the key tools that macroeconomists use to understand these developments, explore the specific circumstances and institutions that mattered in each episode, and consider what policies can mitigate the harm of recessions. We will then turn to the macroeconomic challenge of promoting economic growth over the longer run. We will learn what factors drive differences in living standards over time and across countries and what policymakers can do to promote inclusive and sustainable economic growth in coming decades.",https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22PageNumber%22%3A1%2C%22PageSize%22%3A%22%22%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22Facets%22%3A%5B%5D%2C%22Category%22%3A%22HU_SCL_SCHEDULED_BRACKETED_COURSES%22%2C%22SearchPropertiesInResults%22%3Atrue%2C%22FacetsInResults%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22TopN%22%3A%22%22%2C%22ExcludeBracketed%22%3Atrue%2C%22SearchText%22%3A%22(%20(STRM%3A2238)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(%20Karen Dynan %20)%22%2C%22DeepLink%22%3Afalse%7D,4.68,3.3
33,"Frankel, Jeffrey",API-119,Analysis of Policies and Institutions,Advanced Macroeconomics for the Open Economy I,4,Fall,"Frankel, Jeffrey",M/W,1:30 PM-2:45 PM,"The course is the first in the two-course sequence on macroeconomic policy in the MPA/ID program. It focuses on the international dimension of macroeconomic policy, particularly monetary, fiscal, and exchange rate policy, and on the determination of the current account balance, national income, and inflation. Aims are price stability and countercyclical macro policy. Attention is given to developing countries and other small open economies, defined as those for whom prices are determined on world markets. Included are contractionary effects of devaluation and models that focus on the price of internationally traded goods in terms of non-traded goods. A major overall theme is the implication of increased integration of global financial markets. Another is countries' choice of monetary regime, especially the degree of exchange rate flexibility and ways that central banks can credibly commit to noninflationary monetary policy. Implications of commodity exports and emerging market crises are both covered. This course is open to qualified non-MPA/ID students only by permission of the instructor.",https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22PageNumber%22%3A1%2C%22PageSize%22%3A%22%22%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22Facets%22%3A%5B%5D%2C%22Category%22%3A%22HU_SCL_SCHEDULED_BRACKETED_COURSES%22%2C%22SearchPropertiesInResults%22%3Atrue%2C%22FacetsInResults%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22TopN%22%3A%22%22%2C%22ExcludeBracketed%22%3Atrue%2C%22SearchText%22%3A%22(%20(STRM%3A2238)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(%20Jeffrey Frankel %20)%22%2C%22DeepLink%22%3Afalse%7D,4.18,3.45
34,"Geary, James",DPI-840M A,"Democracy, Politics and Institutions",Feature Writing,2,Fall 2,"Geary, James",M/W,10:30 AM-11:45 AM,"This intensive module provides a thorough grounding in the techniques of journalistic feature writing: researching, reporting, interviewing, writing — and revising. We investigate where good feature ideas come from; we explore how to conceptualize, organize, and structure those ideas through journalistic narrative; and we experiment in a collaborative workshop environment with several journalistic forms — the profile, the reported essay, the “trend” piece. Students will gain proficiency in the techniques of journalistic feature writing, skills that are relevant to other forms of writing, too, including academic and policy writing.",https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22PageNumber%22%3A1%2C%22PageSize%22%3A%22%22%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22Facets%22%3A%5B%5D%2C%22Category%22%3A%22HU_SCL_SCHEDULED_BRACKETED_COURSES%22%2C%22SearchPropertiesInResults%22%3Atrue%2C%22FacetsInResults%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22TopN%22%3A%22%22%2C%22ExcludeBracketed%22%3Atrue%2C%22SearchText%22%3A%22(%20(STRM%3A2238)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(%20James Geary %20)%22%2C%22DeepLink%22%3Afalse%7D,4.93,3.08
35,"Gibbs, Nancy",DPI-831M A,"Democracy, Politics and Institutions",Op-Ed Writing,2,Fall 1,"Gibbs, Nancy",M/W,1:30 PM-2:45 PM,"This course focuses on persuasive communication; think of it as writing for people who are not paid to read you. It will give students confidence in how to frame, structure, write, and edit opinion pieces, with an emphasis on the clarity, concision, and persuasive power of their argument. The course, which is run as a series of seminars and writing workshops, will draw on the work of both seasoned op-ed writers and students. Active participation in class discussions, draft feedback, and exercises, along with preparation of the readings and writing assignments, is essential.",https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22PageNumber%22%3A1%2C%22PageSize%22%3A%22%22%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22Facets%22%3A%5B%5D%2C%22Category%22%3A%22HU_SCL_SCHEDULED_BRACKETED_COURSES%22%2C%22SearchPropertiesInResults%22%3Atrue%2C%22FacetsInResults%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22TopN%22%3A%22%22%2C%22ExcludeBracketed%22%3Atrue%2C%22SearchText%22%3A%22(%20(STRM%3A2238)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(%20Nancy Gibbs %20)%22%2C%22DeepLink%22%3Afalse%7D,4.5,2.99
36,"Glynn, Thomas",MLD-636,"Management, Leadership, and Decision Sciences",Managing Transformations in Healthcare,4,Fall,"Glynn, Thomas",M/W,9:00 AM-10:15 AM,"This course will focus on how to successfully manage transformations in the U.S. healthcare system. Transformations in healthcare include changing reimbursement models, initiatives to improve quality, and projects to redesign the care delivery system. The course will work across sectors – non-profit, private, and public sectors, including federal, state and local levels. The course will use case studies as a major element of each class. The course will begin with a focus on diagnosing the specific challenge and the entity's organizational culture. Then the course will turn to management tools that can transform the healthcare delivery system. These tools include: 1) managing silos, 2) enhancing the role of clinicians, 3) goal setting and monitoring, and 4) public health campaigns. This course is designed for people who may serve in the healthcare delivery system – government agencies, hospitals, community health centers, or public health entities. The healthcare delivery system is constantly evolving. The ability to manage transformations is critical to improving access, equity, and quality, as well as managing costs. The successful transformation will balance all four elements. The course is taught by a practitioner. Tom Glynn served for 14 years as Chief Operating Officer of Harvard affiliated Partners Healthcare, a network of hospitals and neighborhood health centers. Previously he served as Deputy Commissioner of Public Welfare in Massachusetts, overseeing the state Medicaid Program. And he also served as Chair of the Mayor's Healthcare Commission, reviewing the role of neighborhood health centers and safety net hospitals. Glynn has a PhD from Brandeis University's Heller School for Social Policy and Management.",https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22PageNumber%22%3A1%2C%22PageSize%22%3A%22%22%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22Facets%22%3A%5B%5D%2C%22Category%22%3A%22HU_SCL_SCHEDULED_BRACKETED_COURSES%22%2C%22SearchPropertiesInResults%22%3Atrue%2C%22FacetsInResults%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22TopN%22%3A%22%22%2C%22ExcludeBracketed%22%3Atrue%2C%22SearchText%22%3A%22(%20(STRM%3A2238)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(%20Thomas Glynn %20)%22%2C%22DeepLink%22%3Afalse%7D,4.27,3.1
37,"Green, Alex",DPI-810M A,"Democracy, Politics and Institutions",Writing for Policy and Politics,2,Fall 1,"Green, Alex",M/W,12:00 PM-1:15 PM,"This intensive seven week course in effective writing focuses on the strategies and techniques behind great persuasive writing in both politics and policy. Interested students can select among the following options (and may not take more than one for credit).
 

 Students will master the essential life cycle of communications for anyone working in policy and politics, focusing on developing incisive questions, creating well-honed short form summaries, drafting press releases for media partners, writing to constituents, and crafting expert policy briefs.",https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22PageNumber%22%3A1%2C%22PageSize%22%3A%22%22%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22Facets%22%3A%5B%5D%2C%22Category%22%3A%22HU_SCL_SCHEDULED_BRACKETED_COURSES%22%2C%22SearchPropertiesInResults%22%3Atrue%2C%22FacetsInResults%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22TopN%22%3A%22%22%2C%22ExcludeBracketed%22%3Atrue%2C%22SearchText%22%3A%22(%20(STRM%3A2238)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(%20Alex Green %20)%22%2C%22DeepLink%22%3Afalse%7D,4.97,3.14
38,"Green, Alex",DPI-810M B,"Democracy, Politics and Institutions",Writing for Policy and Politics,2,Fall 2,"Green, Alex",M/W,12:00 PM-1:15 PM,"This intensive seven week course in effective writing focuses on the strategies and techniques behind great persuasive writing in both politics and policy. Interested students can select among the following options (and may not take more than one for credit).
 

 Students will master the essential life cycle of communications for anyone working in policy and politics, focusing on developing incisive questions, creating well-honed short form summaries, drafting press releases for media partners, writing to constituents, and crafting expert policy briefs.",https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22PageNumber%22%3A1%2C%22PageSize%22%3A%22%22%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22Facets%22%3A%5B%5D%2C%22Category%22%3A%22HU_SCL_SCHEDULED_BRACKETED_COURSES%22%2C%22SearchPropertiesInResults%22%3Atrue%2C%22FacetsInResults%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22TopN%22%3A%22%22%2C%22ExcludeBracketed%22%3Atrue%2C%22SearchText%22%3A%22(%20(STRM%3A2238)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(%20Alex Green %20)%22%2C%22DeepLink%22%3Afalse%7D,4.97,3.14
39,"Hallett, Deborah Hughes",API-205,Analysis of Policies and Institutions,Politics and Policies: What Is the Impact of Data and AI?,4,Fall,"Hallett, Deborah Hughes",M/W,9:00 AM-10:15 AM,"Data and artificial intelligence (AI) are changing our world.. Intended for leaders, this course introduces statistics and machine learning and what they can tell us about global challenges. Using case studies on justice and policing, elections and polling, behavioral economics, development, climate change, education, and health, we analyze research design, regression, and project evaluation, and compare the perspective of ethics. Looking at what data and AI can—and cannot—tell us, the course develops the ability to read technical reports, identify bias, and make data-based decisions. The mathematical background required is kept to a minimum. A calculator and Excel are sufficient. May not be taken in addition to API-201.",https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22PageNumber%22%3A1%2C%22PageSize%22%3A%22%22%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22Facets%22%3A%5B%5D%2C%22Category%22%3A%22HU_SCL_SCHEDULED_BRACKETED_COURSES%22%2C%22SearchPropertiesInResults%22%3Atrue%2C%22FacetsInResults%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22TopN%22%3A%22%22%2C%22ExcludeBracketed%22%3Atrue%2C%22SearchText%22%3A%22(%20(STRM%3A2238)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(%20Deborah Hughes Hallett %20)%22%2C%22DeepLink%22%3Afalse%7D,4.49,3.89
40,"Levy, Dan",API-318,Analysis of Policies and Institutions,Thinking Analytically in an Uncertain World,4,Fall,"Levy, Dan",M/W,3:00 PM-4:15 PM,"The goal of this course is to help you think more analytically, which I hope will lead you to better understand the world around you, make smarter personal and professional decisions, achieve better outcomes, and ultimately lead a more fulfilling life. A central premise of the course is that the world is full of uncertainty, and that using systematic approaches, frameworks and tools to deal with this uncertainty can be immensely helpful for individuals, teams, and organizations. The course will use a variety of approaches including interactive teaching, blended learning, case studies, simulations, learning journals, and a forecasting tournament. You will constantly be asked to apply what you learn in the course to personal, professional and policy situations.",https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22PageNumber%22%3A1%2C%22PageSize%22%3A%22%22%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22Facets%22%3A%5B%5D%2C%22Category%22%3A%22HU_SCL_SCHEDULED_BRACKETED_COURSES%22%2C%22SearchPropertiesInResults%22%3Atrue%2C%22FacetsInResults%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22TopN%22%3A%22%22%2C%22ExcludeBracketed%22%3Atrue%2C%22SearchText%22%3A%22(%20(STRM%3A2238)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(%20Dan Levy %20)%22%2C%22DeepLink%22%3Afalse%7D,4.94,4.37
